alignment_rank	model_key	family	global_alignment_score	alignment_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_alignment	layer_dataset_count	coverage_frac	headline_eligible
1	siglip_base	SigLIP	0.9283031288723668	0.03346134416163147	1.25	4	5	hidden_state_005	0.9206745662949194	4	1.0	True
2	resnext101_32x8d	ResNeXt	0.8899086121437423	0.040745561547448905	5.0	4	2	feature_map_002	0.8899086121437423	4	1.0	True
3	resnet101	ResNet	0.8667324969021066	0.02922143376149196	7.75	4	2	hidden_state_002	0.8667324969021066	4	1.0	True
4	dinov2_small	DINOv2	0.8651835501858736	0.07940609614500875	12.5	4	4	hidden_state_004	0.8651835501858736	4	1.0	True
5	resnext50_32x4d	ResNeXt	0.8550960346964065	0.016976254617380195	11.5	4	2	feature_map_002	0.844408302354399	4	1.0	True
6	siglip_large	SigLIP	0.8527726146220571	0.03130463083438945	10.5	4	12	hidden_state_012	0.8317456629491946	4	1.0	True
7	dinov2_large	DINOv2	0.8525015489467163	0.0702881082024035	12.0	4	9	hidden_state_009	0.83517270755886	4	1.0	True
8	resnet50	ResNet	0.8432853159851301	0.030450717651057523	13.75	4	2	hidden_state_002	0.8411555142503098	4	1.0	True
9	resnet18	ResNet	0.8358116480793061	0.03764781032971335	12.75	4	2	hidden_state_002	0.8358116480793061	4	1.0	True
10	resnet34	ResNet	0.8351146220570013	0.041605116792964705	15.75	4	2	hidden_state_002	0.8326169454770755	4	1.0	True
11	vit_mae_huge	MAE	0.8311067224287485	0.08671621169552231	15.5	4	7	hidden_state_007	0.8265373296158611	4	1.0	True
12	vit_mae_large	MAE	0.8281443618339529	0.04138909823699144	14.75	4	7	hidden_state_007	0.8185408921933085	4	1.0	True
13	dinov2_base	DINOv2	0.8267696716232962	0.08922476570081732	18.75	4	4	hidden_state_004	0.8223551734820322	4	1.0	True
14	resnet152	ResNet	0.8212515489467163	0.018234941912329685	17.5	4	2	hidden_state_002	0.8212515489467163	4	1.0	True
15	vit_small	ViT	0.8209998451053284	0.08242906226162935	18.75	4	3	block_003	0.7963135068153655	4	1.0	True
16	siglip_so400m	SigLIP	0.8160044919454771	0.10919189127590215	20.5	4	11	hidden_state_011	0.7713948265179678	4	1.0	True
17	fastvithd_15b	FastViTHD	0.815578531598513	0.03683316536222575	17.25	4	41	block_041	0.7637469021065675	4	1.0	True
18	fastvithd_7b	FastViTHD	0.8127710656753407	0.04320195731546567	17.5	4	43	block_043	0.7617235904584883	4	1.0	True
19	vit_tiny	ViT	0.8120934014869889	0.06721410111663409	21.5	4	3	block_003	0.793796468401487	4	1.0	True
20	vgg19	VGG	0.8089374225526642	0.04079504872832315	16.25	4	2	feature_map_002	0.8089374225526642	4	1.0	True
21	fastvithd_05b	FastViTHD	0.7979205390334573	0.07555930086892094	22.75	4	41	block_041	0.7493610594795539	4	1.0	True
22	dinov2_giant	DINOv2	0.7861485439900868	0.08345234117935199	28.5	4	12	hidden_state_012	0.7766612453531598	4	1.0	True
23	clip_vit_l14	CLIP	0.784328531598513	0.08374199559096106	25.0	4	19	hidden_state_019	0.7308898698884758	4	1.0	True
24	vgg13	VGG	0.7706397149938042	0.028634496336018785	23.25	4	2	feature_map_002	0.7706397149938042	4	1.0	True
25	vgg16	VGG	0.7610362453531598	0.032927074328091124	26.25	4	2	feature_map_002	0.7610362453531598	4	1.0	True
26	dinov3_vitb16	DINOv3	0.7572413258983891	0.03386111866175575	29.25	4	3	block_003	0.7572413258983891	4	1.0	True
27	vgg11	VGG	0.7507163878562577	0.020306373549937636	32.25	4	5	feature_map_005	0.7480444547707559	4	1.0	True
28	clip_vit_l14_336	CLIP	0.7489931846344486	0.05576622291176884	33.5	4	19	hidden_state_019	0.7021181846344486	4	1.0	True
29	fastvit_ma36	FastViT	0.7463793370508055	0.04708786473477459	33.0	4	1	feature_map_001	0.7463793370508055	4	1.0	True
30	vgg11_bn	VGG	0.7400286555142503	0.03685880449629004	32.75	4	5	feature_map_005	0.7346654275092938	4	1.0	True
31	clip_vit_b32	CLIP	0.7381505576208178	0.05839937399241011	37.25	4	10	hidden_state_010	0.6720686183395291	4	1.0	True
32	fastvit_sa24	FastViT	0.7359433085501859	0.10240708813657859	35.75	4	2	feature_map_002	0.7192534076827757	4	1.0	True
33	fastvit_sa12	FastViT	0.7322839219330856	0.025791728878042822	32.75	4	1	feature_map_001	0.7322839219330856	4	1.0	True
34	dinov3_vith16plus	DINOv3	0.7322258364312267	0.07968466205323323	36.75	4	6	block_006	0.6910044919454771	4	1.0	True
35	vgg13_bn	VGG	0.7233968401486989	0.06194892525678841	37.25	4	5	feature_map_005	0.7208798017348204	4	1.0	True
36	dinov3_vit7b16	DINOv3	0.7226998141263941	0.07728461258725529	38.0	4	10	block_010	0.7064939591078067	4	1.0	True
37	vit_mae_base	MAE	0.713018897149938	0.06680331051935359	40.25	4	6	hidden_state_006	0.6825046468401487	4	1.0	True
38	internvit_300m_v25	InternViT	0.7109859045848823	0.0842163550190402	43.75	4	8	hidden_state_008	0.7109859045848823	4	1.0	True
39	dinov3_vitl16	DINOv3	0.7095918525402726	0.10645761551520645	40.0	4	7	block_007	0.6780901486988847	4	1.0	True
40	vgg16_bn	VGG	0.7059131040892193	0.0897955749002021	39.25	4	5	feature_map_005	0.6835695477075588	4	1.0	True
41	convnext_base	ConvNeXt	0.7025441449814126	0.08355907832948407	44.5	4	1	hidden_state_001	0.7025441449814126	4	1.0	True
42	convnext_tiny	ConvNeXt	0.6939862143742256	0.06351789727769554	38.25	4	1	hidden_state_001	0.6939862143742256	4	1.0	True
43	clip_vit_b16	CLIP	0.6923598203221809	0.06845762675152217	47.75	4	10	hidden_state_010	0.6579925650557621	4	1.0	True
44	swinv2_tiny	SwinV2	0.6904429987608426	0.05072247692573041	42.0	4	2	hidden_state_002	0.6904429987608426	4	1.0	True
45	vgg19_bn	VGG	0.6799682465923172	0.09902736557910169	45.0	4	3	feature_map_003	0.6593091697645601	4	1.0	True
46	internvit_300m	InternViT	0.6795035625774474	0.08754230706696263	50.75	4	8	hidden_state_008	0.6795035625774474	4	1.0	True
47	dinov3_vits16plus	DINOv3	0.6789033457249071	0.03231336371701078	49.75	4	2	block_002	0.6509061338289963	4	1.0	True
48	swin_tiny	Swin	0.6777222738537794	0.062464946330123214	45.25	4	2	hidden_state_002	0.6735207558859975	4	1.0	True
49	fastvit_s12	FastViT	0.6755731102850062	0.03347665009855779	46.5	4	0	feature_map_000	0.6755731102850062	4	1.0	True
50	dinov3_vits16	DINOv3	0.6715845724907064	0.05289858556534721	48.0	4	3	block_003	0.6686996592317224	4	1.0	True
51	dino_vits8	DINO	0.670558395291202	0.08379938402843387	50.25	4	5	hidden_state_005	0.6560563816604709	4	1.0	True
52	siglip2_base	SigLIP2	0.6638785625774473	0.11358589813482996	46.25	4	1	pooler_output	0.6609936493184634	4	1.0	True
53	convnext_small	ConvNeXt	0.6560176579925651	0.045214736988895075	53.25	4	1	hidden_state_001	0.6506931536555143	4	1.0	True
54	fastvit_t12	FastViT	0.6538491325898389	0.058115891988037995	50.5	4	1	feature_map_001	0.6538491325898389	4	1.0	True
55	swinv2_base	SwinV2	0.6474597273853779	0.06221716189077706	51.25	4	2	hidden_state_002	0.6474597273853779	4	1.0	True
56	swin_small	Swin	0.6451363073110284	0.0838896585856665	51.75	4	2	hidden_state_002	0.6451363073110284	4	1.0	True
57	internvit_6b_v25	InternViT	0.6445167286245354	0.11674900098429894	56.0	4	17	hidden_state_017	0.6209727385377943	4	1.0	True
58	swinv2_small	SwinV2	0.6411477695167286	0.06276399420626401	53.0	4	2	hidden_state_002	0.6411477695167286	4	1.0	True
59	dino_vitb8	DINO	0.6316217472118959	0.02378058879389056	56.0	4	3	hidden_state_003	0.602985594795539	4	1.0	True
60	dino_vits16	DINO	0.6242448884758365	0.09557808275045201	53.5	4	5	hidden_state_005	0.6072064745972738	4	1.0	True
61	siglip2_base_naflex	SigLIP2	0.6215148698884758	0.0678028093122046	57.25	4	1	pooler_output	0.6187074039653035	4	1.0	True
62	swin_base	Swin	0.614873760842627	0.08151957305668268	57.25	4	2	hidden_state_002	0.614873760842627	4	1.0	True
63	ijepa_vith14	I-JEPA	0.6145446096654275	0.06670664064818206	57.5	4	12	hidden_state_012	0.594853624535316	4	1.0	True
64	fastvit_t8	FastViT	0.6145058859975217	0.09593575174525204	54.75	4	1	feature_map_001	0.6029468711276332	4	1.0	True
65	fastvit_sa36	FastViT	0.6088522304832714	0.1022792355989693	55.5	4	3	feature_map_003	0.5124109355638167	4	1.0	True
66	convnext_large	ConvNeXt	0.6030243184634448	0.08207768706350448	62.0	4	1	hidden_state_001	0.6030243184634448	4	1.0	True
67	swin_large	Swin	0.6027532527881041	0.07424052034668287	60.5	4	2	hidden_state_002	0.6027532527881041	4	1.0	True
68	vit_huge	ViT	0.6022304832713754	0.06866128925406896	56.75	4	8	hidden_state_008	0.5996553593556382	4	1.0	True
69	swinv2_large	SwinV2	0.5964800185873607	0.07153064141817844	63.25	4	2	hidden_state_002	0.5746398698884758	4	1.0	True
70	vit_base	ViT	0.5839722738537794	0.06145897185209383	61.0	4	3	hidden_state_003	0.5210463135068154	4	1.0	True
71	siglip2_so400m_naflex	SigLIP2	0.5775054213135068	0.07372616969984487	64.5	4	2	image_embeds_l2	0.5741751858736059	4	1.0	True
72	dino_vitb16	DINO	0.5587050805452293	0.08208725289950142	64.5	4	4	hidden_state_004	0.5236988847583643	4	1.0	True
73	siglip2_large	SigLIP2	0.5583662484510532	0.06874059356099932	65.25	4	1	pooler_output	0.5572819857496902	4	1.0	True
74	vit_large	ViT	0.549508209417596	0.064817552849284	67.5	4	4	hidden_state_004	0.5084998451053284	4	1.0	True
75	siglip2_so400m	SigLIP2	0.45947568153655516	0.00657285072107397	74.5	4	2	image_embeds_l2	0.45471267038413876	4	1.0	True
