joint_rank	quality_rank	model_key	family	global_quality_score	quality_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_quality	layer_dataset_count	dataset_wins	coverage_frac	headline_eligible	global_alignment_score	global_best_layer_alignment	joint_score
1	12	siglip_base	SigLIP	0.9218459572490706	0.06308574208778041	16.25	4	12	hidden_state_012	0.8958526951672863	4	0	1.0	True	0.9283031288723668	hidden_state_005	0.9250745430607187
2	2	fastvithd_15b	FastViTHD	0.9922455855018587	0.0036794999191716023	1.5	4	44	image_embeddings	0.9922455855018587	4	2	1.0	True	0.815578531598513	block_041	0.9039120585501859
3	1	fastvithd_05b	FastViTHD	0.9937848513011153	0.004086264483494805	1.75	4	44	image_embeddings	0.9937848513011153	4	2	1.0	True	0.7979205390334573	block_041	0.8958526951672863
4	3	fastvithd_7b	FastViTHD	0.969301812267658	0.016024730956923982	10.75	4	45	canonical_embedding	0.9681110594795539	4	0	1.0	True	0.8127710656753407	block_043	0.8910364389714993
5	20	resnext101_32x8d	ResNeXt	0.884235594795539	0.06869476910597423	26.0	4	3	feature_map_003	0.884235594795539	4	0	1.0	True	0.8899086121437423	feature_map_002	0.8870721034696407
6	8	resnet18	ResNet	0.9319818773234201	0.030679759150251826	18.0	4	4	hidden_state_004	0.931342936802974	4	0	1.0	True	0.8358116480793061	hidden_state_002	0.8838967627013631
7	11	resnet34	ResNet	0.9280901486988848	0.03849776307251804	18.75	4	3	hidden_state_003	0.9195806226765799	4	0	1.0	True	0.8351146220570013	hidden_state_002	0.8816023853779431
8	4	vit_tiny	ViT	0.9396491635687733	0.018712278456473823	17.25	4	10	block_010	0.9251277881040892	4	0	1.0	True	0.8120934014869889	block_003	0.8758712825278812
9	7	vgg19	VGG	0.933869656133829	0.09033665860711922	10.25	4	5	feature_map_005	0.9314010223048328	4	0	1.0	True	0.8089374225526642	feature_map_002	0.8714035393432467
10	26	resnext50_32x4d	ResNeXt	0.8687267657992566	0.052018283013758285	29.75	4	3	feature_map_003	0.8399744423791822	4	0	1.0	True	0.8550960346964065	feature_map_002	0.8619114002478315
11	27	siglip_large	SigLIP	0.8680297397769516	0.08653156899737631	31.125	4	12	hidden_state_012	0.8058492100371747	4	0	1.0	True	0.8527726146220571	hidden_state_012	0.8604011771995044
12	32	dinov2_small	DINOv2	0.8552509293680297	0.11515333180182481	29.75	4	12	hidden_state_012	0.8357632434944238	4	0	1.0	True	0.8651835501858736	hidden_state_004	0.8602172397769516
13	19	dinov2_base	DINOv2	0.8848454925650557	0.042978433915345726	27.0	4	12	hidden_state_012	0.778171468401487	4	0	1.0	True	0.8267696716232962	hidden_state_004	0.855807582094176
14	5	vgg16	VGG	0.9381389405204461	0.08100653736219217	10.25	4	5	feature_map_005	0.9381389405204461	4	0	1.0	True	0.7610362453531598	feature_map_002	0.849587592936803
15	33	resnet50	ResNet	0.8542634758364313	0.08479936215614012	32.75	4	4	hidden_state_004	0.8508364312267658	4	0	1.0	True	0.8432853159851301	hidden_state_002	0.8487743959107807
16	6	vgg11	VGG	0.9380227695167287	0.0542893153076773	10.75	4	5	feature_map_005	0.9380227695167287	4	0	1.0	True	0.7507163878562577	feature_map_005	0.8443695786864932
17	13	vgg13	VGG	0.9163278345724907	0.09456467323540861	15.0	4	5	feature_map_005	0.9163278345724907	4	0	1.0	True	0.7706397149938042	feature_map_002	0.8434837747831474
18	30	vit_small	ViT	0.8622211895910781	0.04642329071977202	31.0	4	11	block_011	0.8159560873605948	4	0	1.0	True	0.8209998451053284	block_003	0.8416105173482032
19	28	siglip_so400m	SigLIP	0.8671875	0.14989342470485897	25.25	4	29	image_embeds_l2	0.8642251394052045	4	0	1.0	True	0.8160044919454771	hidden_state_011	0.8415959959727386
20	10	vgg11_bn	VGG	0.9289904739776952	0.06001907056877361	13.5	4	5	feature_map_005	0.9289904739776952	4	0	1.0	True	0.7400286555142503	feature_map_005	0.8345095647459728
21	34	clip_vit_l14	CLIP	0.8528113382899628	0.1168593108153543	30.5	4	24	hidden_state_024	0.7894400557620818	4	0	1.0	True	0.784328531598513	hidden_state_019	0.8185699349442379
22	46	dinov2_large	DINOv2	0.7830216078066914	0.13141652887341634	42.0	4	22	hidden_state_022	0.7448594330855018	4	0	1.0	True	0.8525015489467163	hidden_state_009	0.8177615783767038
23	50	resnet101	ResNet	0.7668738382899629	0.07073761904152595	45.25	4	3	hidden_state_003	0.7475023234200744	4	0	1.0	True	0.8667324969021066	hidden_state_002	0.8168031675960348
24	18	clip_vit_b32	CLIP	0.8893180762081785	0.0744185399594229	26.75	4	12	hidden_state_012	0.8837418680297398	4	0	1.0	True	0.7381505576208178	hidden_state_010	0.8137343169144982
25	16	vgg13_bn	VGG	0.9015741171003717	0.10572085929909689	19.25	4	5	feature_map_005	0.9015741171003717	4	0	1.0	True	0.7233968401486989	feature_map_005	0.8124854786245352
26	37	dinov2_giant	DINOv2	0.8344272769516728	0.05484645657586144	37.0	4	35	hidden_state_035	0.7592646375464684	4	0	1.0	True	0.7861485439900868	hidden_state_012	0.8102879104708798
27	15	vgg16_bn	VGG	0.9062790427509294	0.09391178633339227	20.75	4	5	feature_map_005	0.9062790427509294	4	0	1.0	True	0.7059131040892193	feature_map_005	0.8060960734200744
28	9	vgg19_bn	VGG	0.9293389869888475	0.07333162334557344	13.5	4	5	feature_map_005	0.9293389869888475	4	0	1.0	True	0.6799682465923172	feature_map_003	0.8046536167905824
29	47	vit_mae_large	MAE	0.7782295539033457	0.10231285888868875	41.25	4	20	hidden_state_020	0.767599907063197	4	0	1.0	True	0.8281443618339529	hidden_state_007	0.8031869578686492
30	38	dinov3_vitb16	DINOv3	0.8334979089219331	0.07261939367025452	34.75	4	10	block_010	0.7895562267657993	4	0	1.0	True	0.7572413258983891	block_003	0.7953696174101611
31	17	clip_vit_b16	CLIP	0.8962883364312267	0.08066670470933172	23.75	4	12	hidden_state_012	0.8962883364312267	4	0	1.0	True	0.6923598203221809	hidden_state_010	0.7943240783767038
32	36	clip_vit_l14_336	CLIP	0.8365764405204461	0.18621091052960037	30.0	4	24	hidden_state_024	0.8055878252788105	4	0	1.0	True	0.7489931846344486	hidden_state_019	0.7927848125774474
33	31	dinov3_vit7b16	DINOv3	0.8586779739776952	0.07502697665576155	31.5	4	21	block_021	0.8288220260223048	4	0	1.0	True	0.7226998141263941	block_010	0.7906888940520447
34	14	dino_vits8	DINO	0.9086315055762082	0.04766569331246608	24.0	4	12	hidden_state_012	0.8994830390334573	4	0	1.0	True	0.670558395291202	hidden_state_005	0.7895949504337051
35	29	dinov3_vitl16	DINOv3	0.8640508828996283	0.04673399174969112	29.25	4	15	block_015	0.829548094795539	4	0	1.0	True	0.7095918525402726	block_007	0.7868213677199505
36	21	dinov3_vits16plus	DINOv3	0.8820864312267658	0.059436938820910716	24.75	4	9	block_009	0.8464800185873605	4	0	1.0	True	0.6789033457249071	block_002	0.7804948884758365
37	53	vit_mae_huge	MAE	0.7284502788104089	0.12722720610794966	46.5	4	22	hidden_state_022	0.7069296003717472	4	0	1.0	True	0.8311067224287485	hidden_state_007	0.7797785006195788
38	54	resnet152	ResNet	0.7275209107806692	0.048266815246622165	50.5	4	3	hidden_state_003	0.7070167286245352	4	0	1.0	True	0.8212515489467163	hidden_state_002	0.7743862298636928
39	25	dinov3_vits16	DINOv3	0.8707888011152416	0.05566169561132636	26.0	4	10	block_010	0.8363150557620818	4	0	1.0	True	0.6715845724907064	block_003	0.771186686802974
40	43	dinov3_vith16plus	DINOv3	0.8025964219330856	0.06782821783293229	40.75	4	18	block_018	0.7629530669144982	4	0	1.0	True	0.7322258364312267	block_006	0.7674111291821561
41	45	fastvit_ma36	FastViT	0.7830506505576208	0.08109345601470919	41.5	4	2	feature_map_002	0.7830506505576208	4	0	1.0	True	0.7463793370508055	feature_map_001	0.7647149938042132
42	44	vit_mae_base	MAE	0.7919377323420074	0.08655367389484042	40.75	4	11	hidden_state_011	0.7913568773234201	4	0	1.0	True	0.713018897149938	hidden_state_006	0.7524783147459727
43	22	siglip2_base_naflex	SigLIP2	0.8817960037174721	0.0665326511141357	26.375	4	2	image_embeds_l2	0.8786884293680297	4	0	1.0	True	0.6215148698884758	pooler_output	0.751655436802974
44	23	dino_vits16	DINO	0.8744191449814127	0.07788462263358853	29.75	4	12	hidden_state_012	0.8643703531598513	4	0	1.0	True	0.6242448884758365	hidden_state_005	0.7493320167286246
45	40	siglip2_base	SigLIP2	0.8173791821561338	0.1547726318913954	36.25	4	2	image_embeds_l2	0.8147943773234201	4	0	1.0	True	0.6638785625774473	pooler_output	0.7406288723667905
46	35	dino_vitb8	DINO	0.8454925650557621	0.07447354194897438	35.0	4	12	hidden_state_012	0.8399453996282528	4	0	1.0	True	0.6316217472118959	hidden_state_003	0.738557156133829
47	56	fastvit_sa12	FastViT	0.7115473977695167	0.07585530666585244	52.5	4	3	feature_map_003	0.6973164498141264	4	0	1.0	True	0.7322839219330856	feature_map_001	0.7219156598513011
48	52	fastvit_s12	FastViT	0.7649279739776951	0.0434351016834465	46.0	4	3	feature_map_003	0.7376277881040891	4	0	1.0	True	0.6755731102850062	feature_map_000	0.7202505421313506
49	39	fastvit_t8	FastViT	0.8180181226765799	0.06986101982990256	39.5	4	3	feature_map_003	0.804135687732342	4	0	1.0	True	0.6145058859975217	feature_map_001	0.7162620043370508
50	24	dino_vitb16	DINO	0.8733736059479554	0.09300760401401119	29.75	4	12	hidden_state_012	0.8667518587360595	4	0	1.0	True	0.5587050805452293	hidden_state_004	0.7160393432465924
51	42	vit_huge	ViT	0.8027416356877324	0.13157049587524763	39.0	4	29	hidden_state_029	0.7913568773234201	4	0	1.0	True	0.6022304832713754	hidden_state_008	0.7024860594795539
52	60	fastvit_sa24	FastViT	0.6677509293680297	0.10717601480816645	55.5	4	2	feature_map_002	0.625551812267658	4	0	1.0	True	0.7359433085501859	feature_map_002	0.7018471189591078
53	59	convnext_tiny	ConvNeXt	0.7020504182156133	0.08710623075936141	52.75	4	5	canonical_embedding	0.6215439126394052	4	0	1.0	True	0.6939862143742256	hidden_state_001	0.6980183162949194
54	48	ijepa_vith14	I-JEPA	0.7782295539033457	0.1217997158542335	42.5	4	24	hidden_state_024	0.6903752323420075	4	0	1.0	True	0.6145446096654275	hidden_state_012	0.6963870817843866
55	41	siglip2_so400m_naflex	SigLIP2	0.8134874535315986	0.1523466671199876	36.5	4	1	pooler_output	0.7928090148698885	4	0	1.0	True	0.5775054213135068	image_embeds_l2	0.6954964374225527
56	58	swin_tiny	Swin	0.7021956319702602	0.04624222518013993	52.5	4	3	hidden_state_003	0.691682156133829	4	0	1.0	True	0.6777222738537794	hidden_state_002	0.6899589529120198
57	57	fastvit_t12	FastViT	0.7041124535315986	0.13508927072530136	51.75	4	3	feature_map_003	0.6703066914498141	4	0	1.0	True	0.6538491325898389	feature_map_001	0.6789807930607188
58	49	vit_base	ViT	0.7690520446096654	0.08385297566110074	43.0	4	13	canonical_embedding	0.7275789962825279	4	0	1.0	True	0.5839722738537794	hidden_state_003	0.6765121592317224
59	51	vit_large	ViT	0.7663801115241635	0.12139350164965768	43.0	4	22	hidden_state_022	0.7622850836431228	4	0	1.0	True	0.549508209417596	hidden_state_004	0.6579441604708798
60	62	swinv2_tiny	SwinV2	0.6006331319702602	0.0700999062064787	62.25	4	3	hidden_state_003	0.6006331319702602	4	0	1.0	True	0.6904429987608426	hidden_state_002	0.6455380653655514
61	55	siglip2_large	SigLIP2	0.7236291821561338	0.08783949170512909	51.5	4	2	image_embeds_l2	0.7200278810408922	4	0	1.0	True	0.5583662484510532	pooler_output	0.6409977153035935
62	61	fastvit_sa36	FastViT	0.6616229089219331	0.09902504448968512	56.25	4	3	feature_map_003	0.6071967936802973	4	0	1.0	True	0.6088522304832714	feature_map_003	0.6352375697026023
63	67	convnext_base	ConvNeXt	0.5289556226765799	0.1256378361391411	67.0	4	4	hidden_state_004	0.5021782063197027	4	0	1.0	True	0.7025441449814126	hidden_state_001	0.6157498838289963
64	64	convnext_small	ConvNeXt	0.5542809014869888	0.13747014561548082	65.25	4	4	hidden_state_004	0.5528578066914498	4	0	1.0	True	0.6560176579925651	hidden_state_001	0.605149279739777
65	65	swin_small	Swin	0.5534677044609666	0.0353305393323448	65.75	4	3	hidden_state_003	0.5142890334572491	4	0	1.0	True	0.6451363073110284	hidden_state_002	0.5993020058859975
66	66	internvit_6b_v25	InternViT	0.5483271375464684	0.24504767700960686	58.25	4	45	hidden_state_045	0.5393238847583643	4	0	1.0	True	0.6445167286245354	hidden_state_017	0.5964219330855018
67	73	internvit_300m_v25	InternViT	0.43105250929368033	0.1431282987877589	67.75	4	8	hidden_state_008	0.344853624535316	4	0	1.0	True	0.7109859045848823	hidden_state_008	0.5710192069392813
68	68	convnext_large	ConvNeXt	0.5221305762081785	0.03459756026661415	68.25	4	2	hidden_state_002	0.4749651486988848	4	0	1.0	True	0.6030243184634448	hidden_state_001	0.5625774473358116
69	71	swinv2_small	SwinV2	0.46912755576208176	0.10420073999100592	70.0	4	3	hidden_state_003	0.4686628717472119	4	0	1.0	True	0.6411477695167286	hidden_state_002	0.5551376626394051
70	70	swin_base	Swin	0.4940462360594795	0.07072192520476116	68.75	4	5	canonical_embedding	0.4534735130111524	4	0	1.0	True	0.614873760842627	hidden_state_002	0.5544599984510532
71	69	swin_large	Swin	0.4957307156133829	0.09417644349592948	67.75	4	3	hidden_state_003	0.47917634758364314	4	0	1.0	True	0.6027532527881041	hidden_state_002	0.5492419842007434
72	72	swinv2_base	SwinV2	0.4331435873605948	0.06670064682007204	71.25	4	5	canonical_embedding	0.40651138475836435	4	0	1.0	True	0.6474597273853779	hidden_state_002	0.5403016573729864
73	75	internvit_300m	InternViT	0.3741868029739777	0.198665952195425	67.75	4	8	hidden_state_008	0.33596654275092935	4	0	1.0	True	0.6795035625774474	hidden_state_008	0.5268451827757126
74	63	siglip2_so400m	SigLIP2	0.5904681691449813	0.08077800923527988	62.5	4	2	image_embeds_l2	0.5885513475836431	4	0	1.0	True	0.45947568153655516	image_embeds_l2	0.5249719253407683
75	74	swinv2_large	SwinV2	0.42713173791821557	0.08675510145595125	71.25	4	3	hidden_state_003	0.38984084572490707	4	0	1.0	True	0.5964800185873607	hidden_state_002	0.5118058782527881
