model_key	family	global_alignment_score_fr	alignment_rank_fr	global_alignment_score_nr	alignment_rank_nr	delta_global_alignment_score	delta_alignment_rank	abs_score_delta
siglip2_base	SigLIP2	0.6638785625774473	52	0.08366982771188629	73	0.580208734865561	21	0.580208734865561
siglip2_base_naflex	SigLIP2	0.6215148698884758	61	0.08720668853375868	72	0.5343081813547171	11	0.5343081813547171
siglip2_so400m_naflex	SigLIP2	0.5775054213135068	71	0.1141833569225162	75	0.4633220643909906	4	0.4633220643909906
siglip2_large	SigLIP2	0.5583662484510532	73	0.17522166954437743	70	0.38314457890667575	-3	0.38314457890667575
internvit_6b_v25	InternViT	0.6445167286245354	57	0.9319147324858218	10	-0.28739800386128644	-47	0.28739800386128644
siglip2_so400m	SigLIP2	0.45947568153655516	75	0.17385345673538943	71	0.2856222248011657	-4	0.2856222248011657
vit_huge	ViT	0.6022304832713754	68	0.8863557683748862	18	-0.28412528510351076	-50	0.28412528510351076
vit_large	ViT	0.549508209417596	74	0.8215985005250801	22	-0.27209029110748406	-52	0.27209029110748406
clip_vit_b16	CLIP	0.6923598203221809	43	0.9527315263575193	7	-0.26037170603533843	-36	0.26037170603533843
vit_base	ViT	0.5839722738537794	70	0.8201746308848337	24	-0.2362023570310543	-46	0.2362023570310543
internvit_300m	InternViT	0.6795035625774474	46	0.8968154360033036	17	-0.21731187342585623	-29	0.21731187342585623
internvit_300m_v25	InternViT	0.7109859045848823	38	0.9273679103429537	12	-0.21638200575807143	-26	0.21638200575807143
dino_vitb8	DINO	0.6316217472118959	59	0.8473669957104699	20	-0.21574524849857402	-39	0.21574524849857402
clip_vit_l14_336	CLIP	0.7489931846344486	28	0.960994353943956	3	-0.2120011693095074	-25	0.2120011693095074
clip_vit_b32	CLIP	0.7381505576208178	31	0.9305039997789806	11	-0.19235344215816275	-20	0.19235344215816275
clip_vit_l14	CLIP	0.784328531598513	23	0.9702125502930826	2	-0.1858840186945696	-21	0.1858840186945696
dino_vitb16	DINO	0.5587050805452293	72	0.7421806970217997	33	-0.1834756164765704	-39	0.1834756164765704
ijepa_vith14	I-JEPA	0.6145446096654275	63	0.79436146769442	27	-0.1798168580289925	-36	0.1798168580289925
dinov2_giant	DINOv2	0.7861485439900868	22	0.9584322777469616	4	-0.17228373375687478	-18	0.17228373375687478
vgg11	VGG	0.7507163878562577	27	0.5798554801294498	61	0.17086090772680795	34	0.17086090772680795
vit_mae_base	MAE	0.713018897149938	37	0.8773580254682725	19	-0.16433912831833442	-18	0.16433912831833442
resnet101	ResNet	0.8667324969021066	3	0.7079033738696374	39	0.1588291230324692	36	0.1588291230324692
vgg19	VGG	0.8089374225526642	20	0.6573662007586862	53	0.15157122179397797	33	0.15157122179397797
convnext_tiny	ConvNeXt	0.6939862143742256	42	0.5450453735379052	65	0.14894084083632042	23	0.14894084083632042
fastvithd_7b	FastViTHD	0.8127710656753407	18	0.6659027497618109	52	0.1468683159135299	34	0.1468683159135299
dino_vits16	DINO	0.6242448884758365	60	0.7676991635166854	29	-0.14345427504084896	-31	0.14345427504084896
vgg19_bn	VGG	0.6799682465923172	45	0.8204029960348967	23	-0.1404347494425795	-22	0.1404347494425795
siglip_so400m	SigLIP	0.8160044919454771	16	0.9539278180119327	6	-0.13792332606645563	-10	0.13792332606645563
dinov2_base	DINOv2	0.8267696716232962	13	0.9547557543359175	5	-0.12798608271262135	-8	0.12798608271262135
siglip_base	SigLIP	0.9283031288723668	1	0.8027908310570163	26	0.12551229781535045	25	0.12551229781535045
vit_tiny	ViT	0.8120934014869889	19	0.9373001050255727	9	-0.12520670353858376	-10	0.12520670353858376
fastvithd_15b	FastViTHD	0.815578531598513	17	0.6903874167289203	42	0.12519111486959267	25	0.12519111486959267
dinov2_large	DINOv2	0.8525015489467163	7	0.9771330651951697	1	-0.12463151624845348	-6	0.12463151624845348
resnet152	ResNet	0.8212515489467163	14	0.698124696554588	40	0.12312685239212828	26	0.12312685239212828
resnet34	ResNet	0.8351146220570013	10	0.7120034801123841	38	0.12311114194461714	28	0.12311114194461714
vit_mae_large	MAE	0.8281443618339529	12	0.9456426975345483	8	-0.11749833570059542	-4	0.11749833570059542
resnet50	ResNet	0.8432853159851301	8	0.7274275338553031	37	0.115857782129827	29	0.115857782129827
swin_small	Swin	0.6451363073110284	56	0.5293062783186687	68	0.11583002899235972	12	0.11583002899235972
resnext50_32x4d	ResNeXt	0.8550960346964065	5	0.740972788449869	34	0.11412324624653747	29	0.11412324624653747
convnext_large	ConvNeXt	0.6030243184634448	66	0.4897342176506076	69	0.11329010081283725	3	0.11329010081283725
fastvithd_05b	FastViTHD	0.7979205390334573	21	0.6882955300124706	44	0.10962500902098671	23	0.10962500902098671
swinv2_small	SwinV2	0.6411477695167286	58	0.5317057893125388	67	0.10944198020418983	9	0.10944198020418983
vit_small	ViT	0.8209998451053284	15	0.9214877690676531	15	-0.10048792396232464	0	0.10048792396232464
dinov3_vit7b16	DINOv3	0.7226998141263941	36	0.6229096304121825	74	0.09979018371421156	38	0.09979018371421156
resnext101_32x8d	ResNeXt	0.8899086121437423	2	0.7912454634107399	28	0.09866314873300241	26	0.09866314873300241
fastvit_sa24	FastViT	0.7359433085501859	32	0.8328775870160159	21	-0.09693427846583003	-11	0.09693427846583003
swin_tiny	Swin	0.6777222738537794	48	0.5866600737078008	60	0.09106220014597854	12	0.09106220014597854
vit_mae_huge	MAE	0.8311067224287485	11	0.9216213994214909	14	-0.0905146769927424	3	0.0905146769927424
dino_vits8	DINO	0.670558395291202	51	0.7599262569957455	30	-0.08936786170454347	-21	0.08936786170454347
vgg16	VGG	0.7610362453531598	25	0.6770232973927457	48	0.08401294796041414	23	0.08401294796041414
swinv2_base	SwinV2	0.6474597273853779	55	0.565168986138672	63	0.08229074124670599	8	0.08229074124670599
resnet18	ResNet	0.8358116480793061	9	0.7542916764153076	31	0.08151997166399849	22	0.08151997166399849
vgg13	VGG	0.7706397149938042	24	0.6900214936388671	43	0.08061822135493713	19	0.08061822135493713
fastvit_t8	FastViT	0.6145058859975217	64	0.5342450869866572	66	0.08026079901086447	2	0.08026079901086447
swinv2_tiny	SwinV2	0.6904429987608426	44	0.6118789375501802	59	0.0785640612106624	15	0.0785640612106624
siglip_large	SigLIP	0.8527726146220571	6	0.9255523011481441	13	-0.07277968652608702	7	0.07277968652608702
dinov3_vitb16	DINOv3	0.7572413258983891	26	0.684541834485451	47	0.07269949141293808	21	0.07269949141293808
fastvit_sa12	FastViT	0.7322839219330856	33	0.6668962046010287	50	0.06538771733205684	17	0.06538771733205684
fastvit_ma36	FastViT	0.7463793370508055	29	0.8100625764660968	25	-0.0636832394152913	-4	0.0636832394152913
swinv2_large	SwinV2	0.5964800185873607	69	0.6536752368474545	54	-0.05719521826009388	-15	0.05719521826009388
dinov2_small	DINOv2	0.8651835501858736	4	0.9183877401372332	16	-0.05320418995135967	12	0.05320418995135967
fastvit_sa36	FastViT	0.6088522304832714	65	0.5561192569131765	64	0.052732973570094877	-1	0.052732973570094877
vgg16_bn	VGG	0.7059131040892193	40	0.7490841339398362	32	-0.04317102985061694	-8	0.04317102985061694
dinov3_vits16	DINOv3	0.6715845724907064	50	0.630360517119235	56	0.041224055371471335	6	0.041224055371471335
vgg13_bn	VGG	0.7233968401486989	35	0.6845448477551418	46	0.03885199239355708	11	0.03885199239355708
fastvit_s12	FastViT	0.6755731102850062	49	0.6379260878839982	55	0.037647022401008035	6	0.037647022401008035
convnext_base	ConvNeXt	0.7025441449814126	41	0.6682687643255485	49	0.03427538065586411	8	0.03427538065586411
convnext_small	ConvNeXt	0.6560176579925651	53	0.685514613402179	45	-0.029496955409613945	-8	0.029496955409613945
fastvit_t12	FastViT	0.6538491325898389	54	0.6251195334014559	57	0.028729599188383026	3	0.028729599188383026
swin_large	Swin	0.6027532527881041	67	0.5772779704113374	62	0.02547528237676666	-5	0.02547528237676666
dinov3_vitl16	DINOv3	0.7095918525402726	39	0.6919442846233319	41	0.017647567916940665	2	0.017647567916940665
dinov3_vits16plus	DINOv3	0.6789033457249071	47	0.6666440108568741	51	0.01225933486803299	4	0.01225933486803299
swin_base	Swin	0.614873760842627	62	0.6233588471430368	58	-0.008485086300409783	-4	0.008485086300409783
dinov3_vith16plus	DINOv3	0.7322258364312267	34	0.7281088536980223	36	0.004116982733204488	2	0.004116982733204488
vgg11_bn	VGG	0.7400286555142503	30	0.7362762419119391	35	0.0037524136023112664	5	0.0037524136023112664
