quality_rank	model_key	family	global_quality_score	quality_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_quality	layer_dataset_count	dataset_wins	coverage_frac	headline_eligible	matched_layer_index	matched_layer_name	selected_flops	profile_input_height	profile_input_width	profile_layer_index	profile_layer_name	flops_join_mode	full_flops	profiled_layer_count	selected_to_full_ratio	flops_saved_ratio	selected_flops_g	full_flops_g	layer_name_match
1	dinov2_base	DINOv2	0.9154767644719832	0.04514677207851301	17.5	8	3	hidden_state_003	0.7554465948480465	8	0	1.0	True	3.0	hidden_state_003	11754021888.0	224.0	224.0	3.0	hidden_state_003	index	46322454528.0	14.0	0.2537435031836489	0.7462564968163511	11.754021888	46.322454528	True
2	clip_vit_l14	CLIP	0.9067682023262152	0.1034494059687417	19.5	8	20	hidden_state_020	0.8082714998957643	8	0	1.0	True	20.0	hidden_state_020	135071350784.0	224.0	224.0	20.0	hidden_state_020	index	162025537536.0	28.0	0.8336423556316785	0.16635764436832146	135.071350784	162.025537536	True
3	vit_tiny	ViT	0.9043016547921353	0.057438339443530544	17.375	8	3	block_003	0.6674072962239005	8	0	1.0	True	3.0	block_003	874195968.0	224.0	224.0	3.0	block_003	index	2506982400.0	13.0	0.3487044695646846	0.6512955304353154	0.874195968	2.5069824	True
4	clip_vit_l14_336	CLIP	0.9022962637398646	0.150262436656985	18.25	8	20	hidden_state_020	0.8175868058682388	8	0	1.0	True	20.0	hidden_state_020	318380785664.0	336.0	336.0	20.0	hidden_state_020	index	381919789056.0	28.0	0.8336325971768815	0.16636740282311846	318.380785664	381.919789056	True
5	clip_vit_b16	CLIP	0.894289678405322	0.074824504928108	21.375	8	10	hidden_state_010	0.6612526999621674	8	0	1.0	True	10.0	hidden_state_010	29310302208.0	224.0	224.0	10.0	hidden_state_010	index	35126906880.0	16.0	0.8344117034878534	0.16558829651214657	29.310302208	35.12690688	True
6	siglip_so400m	SigLIP	0.8926659556929271	0.12312749626866257	20.375	8	12	hidden_state_012	0.7022399486127988	8	1	1.0	True	12.0	hidden_state_012	300646172160.0	384.0	384.0	12.0	hidden_state_012	index	670346449920.0	30.0	0.4484937187269053	0.5515062812730946	300.64617216	670.34644992	True
7	dinov2_small	DINOv2	0.8870023924707692	0.09150601690854825	22.0	8	4	hidden_state_004	0.7530717932928175	8	0	1.0	True	4.0	hidden_state_004	4159444992.0	224.0	224.0	4.0	hidden_state_004	index	12247123968.0	14.0	0.3396262667764318	0.6603737332235682	4.159444992	12.247123968	True
8	clip_vit_b32	CLIP	0.8859866115307615	0.08112744742895318	23.625	8	10	hidden_state_010	0.704819169473546	8	0	1.0	True	10.0	hidden_state_010	7385899008.0	224.0	224.0	10.0	hidden_state_010	index	8817623040.0	16.0	0.8376292538811003	0.16237074611889968	7.385899008	8.81762304	True
9	dinov2_giant	DINOv2	0.8828245303712033	0.06415927543059162	23.75	8	30	hidden_state_030	0.70110364944183	8	0	1.0	True	30.0	hidden_state_030	449200705536.0	224.0	224.0	30.0	hidden_state_030	index	598780133376.0	42.0	0.7501930683694333	0.24980693163056666	449.200705536	598.780133376	True
10	siglip_large	SigLIP	0.882045841223916	0.0680619172926438	23.9375	8	12	hidden_state_012	0.7784598502803386	8	0	1.0	True	12.0	hidden_state_012	82029051904.0	256.0	256.0	12.0	hidden_state_012	index	162559688704.0	27.0	0.5046088151249121	0.49539118487508793	82.029051904	162.559688704	True
11	siglip_base	SigLIP	0.8808037971390904	0.08037634205610579	18.375	8	5	hidden_state_005	0.7138824061016524	8	0	1.0	True	5.0	hidden_state_005	15168761856.0	224.0	224.0	5.0	hidden_state_005	index	35416584192.0	15.0	0.42829544977480816	0.5717045502251918	15.168761856	35.416584192	True
12	fastvithd_15b	FastViTHD	0.8762886796331354	0.1793931867460967	15.875	8	42	block_042	0.7218998693685404	8	2	1.0	True	42.0	block_042	471754604544.0	1024.0	1024.0	42.0	block_042	index	486712541184.0	46.0	0.9692674106904815	0.0307325893095185	471.754604544	486.712541184	True
13	fastvithd_05b	FastViTHD	0.8726161811726167	0.18532386574645623	16.875	8	41	block_041	0.6991192354713691	8	2	1.0	True	41.0	block_041	455532871680.0	1024.0	1024.0	41.0	block_041	index	486712541184.0	46.0	0.9359382245870409	0.0640617754129591	455.53287168	486.712541184	True
14	vit_small	ViT	0.8701910530779439	0.046253513619063345	25.25	8	3	block_003	0.6839927565630475	8	0	1.0	True	3.0	block_003	3142735872.0	224.0	224.0	3.0	block_003	index	9196996608.0	13.0	0.3417132794488903	0.6582867205511097	3.142735872	9.196996608	True
15	dinov2_large	DINOv2	0.8647529260138074	0.12415976585179332	25.375	8	20	hidden_state_020	0.6989427100490488	8	0	1.0	True	20.0	hidden_state_020	135071350784.0	224.0	224.0	20.0	hidden_state_020	index	162023964672.0	26.0	0.8336504482990362	0.16634955170096377	135.071350784	162.023964672	True
16	fastvithd_7b	FastViTHD	0.8473033191981119	0.1813138835184448	23.75	8	42	block_042	0.6598875494458805	8	0	1.0	True	42.0	block_042	471754604544.0	1024.0	1024.0	42.0	block_042	index	486712541184.0	46.0	0.9692674106904815	0.0307325893095185	471.754604544	486.712541184	True
17	dino_vits8	DINO	0.833110716822831	0.11635971458020261	27.5	8	5	hidden_state_005	0.7373052593533306	8	0	1.0	True	5.0	hidden_state_005	18738568704.0	224.0	224.0	5.0	hidden_state_005	index	44810717184.0	14.0	0.4181715866554072	0.5818284133445928	18.738568704	44.810717184	True
18	dinov3_vith16plus	DINOv3	0.8270193410026564	0.09666218101136734	29.375	8	18	block_018	0.6635922875717704	8	0	1.0	True								missing							False
19	dinov3_vitl16	DINOv3	0.8218134958237183	0.07912052108973541	28.875	8	15	block_015	0.6727952727881875	8	0	1.0	True								missing	82570297344.0	12.0				82.570297344	False
20	vgg19_bn	VGG	0.8194016330637403	0.1259274416202928	26.875	8	5	feature_map_005	0.5669813975658988	8	0	1.0	True	5.0	feature_map_005	39016857600.0	224.0	224.0	5.0	feature_map_005	index	39016857600.0	6.0	1.0	0.0	39.0168576	39.0168576	True
21	vit_mae_large	MAE	0.8123802125134766	0.09403324725043882	30.0	8	13	hidden_state_013	0.643983180728412	8	0	1.0	True	13.0	hidden_state_013	16799186944.0	224.0	224.0	13.0	hidden_state_013	index	30753030144.0	26.0	0.546261193298299	0.45373880670170097	16.799186944	30.753030144	True
22	dino_vitb8	DINO	0.8094004951964383	0.10207619212039264	31.375	8	3	hidden_state_003	0.6702037649586616	8	0	1.0	True	3.0	hidden_state_003	39247193088.0	224.0	224.0	3.0	hidden_state_003	index	156295139328.0	14.0	0.2511094923152798	0.7488905076847202	39.247193088	156.295139328	True
23	dino_vits16	DINO	0.807864585502457	0.13149138239969815	30.5	8	5	hidden_state_005	0.6688848534390517	8	0	1.0	True	5.0	hidden_state_005	3899518464.0	224.0	224.0	5.0	hidden_state_005	index	9196996608.0	14.0	0.42399911951777897	0.576000880482221	3.899518464	9.196996608	True
24	resnet18	ResNet	0.7997345276127078	0.14404738378481582	31.125	8	2	hidden_state_002	0.6184103842717574	8	0	1.0	True	2.0	hidden_state_002	1982955520.0	224.0	224.0	2.0	hidden_state_002	index	3627122688.0	6.0	0.5467020805666224	0.4532979194333776	1.98295552	3.627122688	True
25	dinov3_vits16plus	DINOv3	0.798336351009209	0.11121469546078998	31.375	8	6	block_006	0.6068076447348547	8	0	1.0	True	6.0	block_006	9504299520.0	256.0	256.0	6.0	block_006	index	16185231360.0	13.0	0.5872204918546188	0.4127795081453812	9.50429952	16.18523136	True
26	fastvit_ma36	FastViT	0.7974988598737003	0.08876143409005897	33.5	8	2	feature_map_002	0.6231370896578433	8	0	1.0	True	2.0	feature_map_002	12101943296.0	256.0	256.0	2.0	feature_map_002	index	15647059968.0	4.0	0.773432409714658	0.226567590285342	12.101943296	15.647059968	True
27	resnet34	ResNet	0.7927061075930183	0.14817209924282257	32.75	8	3	hidden_state_003	0.5945663880233382	8	0	1.0	True	3.0	hidden_state_003	6041993216.0	224.0	224.0	3.0	hidden_state_003	index	7326498816.0	6.0	0.8246767477536708	0.17532325224632916	6.041993216	7.326498816	True
28	vit_huge	ViT	0.791561148908178	0.12457730588608042	32.875	8	7	hidden_state_007	0.6643262881699747	8	0	1.0	True	7.0	hidden_state_007	73492106240.0	224.0	224.0	7.0	hidden_state_007	index	334587658240.0	34.0	0.2196497821425441	0.780350217857456	73.49210624	334.58765824	True
29	vgg16_bn	VGG	0.7906208718385785	0.13767003720639995	32.5	8	5	feature_map_005	0.5727782728440451	8	0	1.0	True	5.0	feature_map_005	30693261312.0	224.0	224.0	5.0	feature_map_005	index	30693261312.0	6.0	1.0	0.0	30.693261312	30.693261312	True
30	dinov3_vitb16	DINOv3	0.7880387816269805	0.07429732373641086	34.875	8	6	block_006	0.547280245598172	8	0	1.0	True	6.0	block_006	27629466624.0	256.0	256.0	6.0	block_006	index	47149092864.0	13.0	0.5860020828756193	0.4139979171243807	27.629466624	47.149092864	True
31	dinov3_vits16	DINOv3	0.7843650555794132	0.10333998046307963	33.75	8	8	block_008	0.601571145106911	8	0	1.0	True	8.0	block_008	9405679104.0	256.0	256.0	8.0	block_008	index	12490573824.0	13.0	0.7530221778864529	0.24697782211354713	9.405679104	12.490573824	True
32	vgg16	VGG	0.7838065389460117	0.17165345249336428	30.125	8	3	feature_map_003	0.6070983871696289	8	0	1.0	True	3.0	feature_map_003	27918729216.0	224.0	224.0	3.0	feature_map_003	index	30693261312.0	6.0	0.9096045197740112	0.09039548022598876	27.918729216	30.693261312	True
33	resnext101_32x8d	ResNeXt	0.7813215593698837	0.1346660059549035	35.0	8	3	feature_map_003	0.6518419357669027	8	0	1.0	True	3.0	feature_map_003	29394305024.0	224.0	224.0	3.0	feature_map_003	index	32823934976.0	5.0	0.8955143569926136	0.10448564300738639	29.394305024	32.823934976	True
34	dino_vitb16	DINO	0.7797768643677938	0.1604943823244755	34.0	8	5	hidden_state_005	0.6518267457081776	8	0	1.0	True	5.0	hidden_state_005	14770756608.0	224.0	224.0	5.0	hidden_state_005	index	35126120448.0	14.0	0.42050634740225096	0.579493652597749	14.770756608	35.126120448	True
35	ijepa_vith14	I-JEPA	0.7795586620057899	0.11427171101548206	34.5	8	22	hidden_state_022	0.5900348762569335	8	0	1.0	True	22.0	hidden_state_022	229226577920.0	224.0	224.0	22.0	hidden_state_022	index	333245317120.0	34.0	0.6878613626173077	0.3121386373826923	229.22657792	333.24531712	True
36	vgg19	VGG	0.7761514277469876	0.1845261129076374	31.125	8	3	feature_map_003	0.61349098216953	8	0	1.0	True	3.0	feature_map_003	35317481472.0	224.0	224.0	3.0	feature_map_003	index	39016857600.0	6.0	0.9051851851851852	0.0948148148148148	35.317481472	39.0168576	True
37	vit_mae_huge	MAE	0.7747648756270185	0.12532445321249355	33.125	8	18	hidden_state_018	0.6471312483105267	8	1	1.0	True	18.0	hidden_state_018	46780999680.0	224.0	224.0	18.0	hidden_state_018	index	82866503680.0	34.0	0.5645344934625339	0.4354655065374661	46.78099968	82.86650368	True
38	internvit_6b_v25	InternViT	0.7682698154322416	0.2801478653905371	30.75	8	45	hidden_state_045	0.6679355871404692	8	2	1.0	True								missing	4780189516800.0	19.0				4780.1895168	False
39	vgg13	VGG	0.764176442591703	0.16939839389236708	33.375	8	3	feature_map_003	0.5836546696015755	8	0	1.0	True	3.0	feature_map_003	20519976960.0	224.0	224.0	3.0	feature_map_003	index	22369665024.0	6.0	0.917312661498708	0.08268733850129195	20.51997696	22.369665024	True
40	vgg11	VGG	0.7612924589758555	0.1915402351112149	34.0	8	5	feature_map_005	0.6189029111408703	8	0	1.0	True	5.0	feature_map_005	14970912768.0	224.0	224.0	5.0	feature_map_005	index	14970912768.0	6.0	1.0	0.0	14.970912768	14.970912768	True
41	vgg13_bn	VGG	0.7547047288873678	0.18816807497181243	36.0	8	5	feature_map_005	0.5691539402281038	8	0	1.0	True	5.0	feature_map_005	22369665024.0	224.0	224.0	5.0	feature_map_005	index	22369665024.0	6.0	1.0	0.0	22.369665024	22.369665024	True
42	vit_mae_base	MAE	0.7505028938324352	0.1019289084530332	39.375	8	8	hidden_state_008	0.5849050772590749	8	0	1.0	True	8.0	hidden_state_008	5954961408.0	224.0	224.0	8.0	hidden_state_008	index	8816836608.0	14.0	0.6754079351540593	0.3245920648459407	5.954961408	8.816836608	True
43	vgg11_bn	VGG	0.7448205661257847	0.20271631903222007	36.625	8	5	feature_map_005	0.5894859254413948	8	0	1.0	True	5.0	feature_map_005	14970912768.0	224.0	224.0	5.0	feature_map_005	index	14970912768.0	6.0	1.0	0.0	14.970912768	14.970912768	True
44	fastvit_sa24	FastViT	0.7362286151023884	0.12010813726420135	41.5	8	2	feature_map_002	0.6374205639262186	8	0	1.0	True	2.0	feature_map_002	5838733312.0	256.0	256.0	2.0	feature_map_002	index	7536312320.0	4.0	0.7747467281186139	0.2252532718813861	5.838733312	7.53631232	True
45	vit_base	ViT	0.724899341624655	0.11003740888392743	42.875	8	10	hidden_state_010	0.5494843085650521	8	0	1.0	True	10.0	hidden_state_010	29310302208.0	224.0	224.0	10.0	hidden_state_010	index	35126120448.0	14.0	0.8344303849720717	0.16556961502792833	29.310302208	35.126120448	True
46	vit_large	ViT	0.7226527778116796	0.13504543818067502	42.375	8	20	hidden_state_020	0.578964312458889	8	0	1.0	True	20.0	hidden_state_020	102640861184.0	224.0	224.0	20.0	hidden_state_020	index	123107377152.0	26.0	0.8337506943817826	0.16624930561821738	102.640861184	123.107377152	True
47	resnext50_32x4d	ResNeXt	0.7186300930475047	0.16555010210321217	42.25	8	2	feature_map_002	0.5902897615709713	8	0	1.0	True	2.0	feature_map_002	3675291648.0	224.0	224.0	2.0	feature_map_002	index	8456863744.0	5.0	0.43459274729447506	0.5654072527055249	3.675291648	8.456863744	True
48	resnet50	ResNet	0.7141773366664986	0.16757639849106232	42.75	8	2	hidden_state_002	0.5724202308094208	8	0	1.0	True	2.0	hidden_state_002	3627122688.0	224.0	224.0	2.0	hidden_state_002	index	8174272512.0	6.0	0.44372421921037125	0.5562757807896288	3.627122688	8.174272512	True
49	internvit_300m_v25	InternViT	0.6962791859159011	0.2856227921205943	36.875	8	7	hidden_state_007	0.5838293351249604	8	0	1.0	True	7.0	hidden_state_007	211921432576.0	448.0	448.0	7.0	hidden_state_007	index	723593035776.0	26.0	0.2928737869190932	0.7071262130809068	211.921432576	723.593035776	True
50	fastvit_s12	FastViT	0.6814417473520505	0.11160109974780902	49.375	8	0	feature_map_000	0.479610587402229	8	0	1.0	True	0.0	feature_map_000	700448768.0	256.0	256.0	0.0	feature_map_000	index	3597139968.0	4.0	0.19472380119516106	0.8052761988048389	0.700448768	3.597139968	True
51	fastvit_sa12	FastViT	0.6752617497343315	0.11167709114227034	50.75	8	2	feature_map_002	0.5121031606062958	8	0	1.0	True	2.0	feature_map_002	3015180288.0	256.0	256.0	2.0	feature_map_002	index	3884253184.0	4.0	0.7762574026894329	0.22374259731056712	3.015180288	3.884253184	True
52	resnet101	ResNet	0.6737880961392148	0.13353964905215976	48.625	8	2	hidden_state_002	0.5620325856333906	8	0	1.0	True	2.0	hidden_state_002	3627122688.0	224.0	224.0	2.0	hidden_state_002	index	15598714880.0	6.0	0.23252702007205353	0.7674729799279465	3.627122688	15.59871488	True
53	resnet152	ResNet	0.6725515420919308	0.07675311047565314	51.625	8	2	hidden_state_002	0.5385461143299113	8	0	1.0	True	2.0	hidden_state_002	5374050304.0	224.0	224.0	2.0	hidden_state_002	index	23023157248.0	6.0	0.23341934584001675	0.7665806541599832	5.374050304	23.023157248	True
54	fastvit_t12	FastViT	0.6647687483893788	0.10841063996722812	51.75	8	3	feature_map_003	0.4555091980149008	8	0	1.0	True	3.0	feature_map_003	2791833600.0	256.0	256.0	3.0	feature_map_003	index	2791833600.0	4.0	1.0	0.0	2.7918336	2.7918336	True
55	swin_tiny	Swin	0.6568461601653504	0.11439344398809699	52.5	8	3	hidden_state_003	0.5722702642005222	8	0	1.0	True	3.0	hidden_state_003	7577579520.0	224.0	224.0	3.0	hidden_state_003	index	8979597312.0	6.0	0.8438662956381802	0.15613370436181984	7.57757952	8.979597312	True
56	convnext_tiny	ConvNeXt	0.6495641824247256	0.16228148438158896	51.625	8	2	hidden_state_002	0.49362512149880294	8	0	1.0	True	2.0	hidden_state_002	3051804672.0	224.0	224.0	2.0	hidden_state_002	index	8909526528.0	6.0	0.3425327555183862	0.6574672444816139	3.051804672	8.909526528	True
57	fastvit_t8	FastViT	0.6473161291418233	0.19185002450820762	53.625	8	3	feature_map_003	0.48567725202574447	8	0	1.0	True	3.0	feature_map_003	1377632256.0	256.0	256.0	3.0	feature_map_003	index	1377632256.0	4.0	1.0	0.0	1.377632256	1.377632256	True
58	internvit_300m	InternViT	0.6469560032135162	0.3089077318326083	39.875	8	7	hidden_state_007	0.5619388731752204	8	0	1.0	True	7.0	hidden_state_007	211921432576.0	448.0	448.0	7.0	hidden_state_007	index	723593035776.0	26.0	0.2928737869190932	0.7071262130809068	211.921432576	723.593035776	True
59	fastvit_sa36	FastViT	0.6242296956828397	0.11350891533827343	55.5	8	3	feature_map_003	0.45014425532938646	8	0	1.0	True	3.0	feature_map_003	11188371456.0	256.0	256.0	3.0	feature_map_003	index	11188371456.0	4.0	1.0	0.0	11.188371456	11.188371456	True
60	swin_base	Swin	0.6175912186353032	0.16153615455699355	51.5	8	3	hidden_state_003	0.46691911318885826	8	0	1.0	True	3.0	hidden_state_003	28373925888.0	224.0	224.0	3.0	hidden_state_003	index	30859845632.0	6.0	0.9194448418944055	0.08055515810559455	28.373925888	30.859845632	True
61	swin_small	Swin	0.6114670100091739	0.0950846273714973	55.25	8	3	hidden_state_003	0.493351035332919	8	0	1.0	True	3.0	hidden_state_003	16078196736.0	224.0	224.0	3.0	hidden_state_003	index	17480214528.0	6.0	0.9197940168437732	0.08020598315622685	16.078196736	17.480214528	True
62	swinv2_tiny	SwinV2	0.5971288194860128	0.13397552379822658	57.625	8	3	hidden_state_003	0.4612570992241348	8	0	1.0	True	3.0	hidden_state_003	10028759040.0	256.0	256.0	3.0	hidden_state_003	index	11877844992.0	6.0	0.8443247951757746	0.15567520482422537	10.02875904	11.877844992	True
63	swinv2_large	SwinV2	0.5896863006085493	0.19874777402007304	52.125	8	3	hidden_state_003	0.4595477717615385	8	0	1.0	True	3.0	hidden_state_003	88156405760.0	256.0	256.0	3.0	hidden_state_003	index	95477534720.0	6.0	0.9233209258966506	0.0766790741033494	88.15640576	95.47753472	True
64	siglip2_base_naflex	SigLIP2	0.5881123088875323	0.3182251838430041	47.9375	8	1	pooler_output	0.5849756917871605	8	0	1.0	True	1.0	pooler_output	46821015552.0			1.0	pooler_output	index	47437578240.0	3.0	0.9870026525198939	0.012997347480106058	46.821015552	47.43757824	True
65	swin_large	Swin	0.5836749413206275	0.12579026169113275	56.75	8	3	hidden_state_003	0.4764750054744141	8	0	1.0	True	3.0	hidden_state_003	63369879552.0	224.0	224.0	3.0	hidden_state_003	index	68948447232.0	6.0	0.919090742374095	0.08090925762590495	63.369879552	68.948447232	True
66	convnext_small	ConvNeXt	0.5788750346798178	0.11926342166447142	60.0	8	2	hidden_state_002	0.4324558560607801	8	0	1.0	True	2.0	hidden_state_002	3051804672.0	224.0	224.0	2.0	hidden_state_002	index	17365888512.0	6.0	0.17573559048770657	0.8242644095122934	3.051804672	17.365888512	True
67	convnext_base	ConvNeXt	0.5700239872285706	0.13631415250912252	59.625	8	2	hidden_state_002	0.39598644632545654	8	0	1.0	True	2.0	hidden_state_002	5353578496.0	224.0	224.0	2.0	hidden_state_002	index	30707410944.0	6.0	0.17434157851220763	0.8256584214877923	5.353578496	30.707410944	True
68	swinv2_small	SwinV2	0.5620561804557332	0.15788818107851016	57.5	8	3	hidden_state_003	0.4236237121421522	8	0	1.0	True	3.0	hidden_state_003	21241092096.0	256.0	256.0	3.0	hidden_state_003	index	23090178048.0	6.0	0.9199189392062673	0.08008106079373267	21.241092096	23.090178048	True
69	siglip2_large	SigLIP2	0.5595594258335181	0.2143651600598862	57.875	8	1	pooler_output	0.5315591702144029	8	0	1.0	True	1.0	pooler_output	383852478464.0	384.0	384.0	1.0	pooler_output	index	386291728384.0	3.0	0.9936854720389581	0.006314527961041927	383.852478464	386.291728384	True
70	siglip2_base	SigLIP2	0.5590945718713862	0.3198855653544972	53.625	8	1	pooler_output	0.5193194115704185	8	0	1.0	True	1.0	pooler_output	35416584192.0	224.0	224.0	1.0	pooler_output	index	35891404800.0	3.0	0.986770631836623	0.013229368163377053	35.416584192	35.8914048	True
71	convnext_large	ConvNeXt	0.5439105218377038	0.11632142708127988	62.125	8	2	hidden_state_002	0.4338774992655029	8	0	1.0	True	2.0	hidden_state_002	11883884544.0	224.0	224.0	2.0	hidden_state_002	index	68719795200.0	6.0	0.17293247905372106	0.827067520946279	11.883884544	68.7197952	True
72	swinv2_base	SwinV2	0.5075783381919498	0.16055380907331174	62.5	8	2	hidden_state_002	0.3926486416311715	8	0	1.0	True	2.0	hidden_state_002	7439679488.0	256.0	256.0	2.0	hidden_state_002	index	40648220672.0	6.0	0.1830259569793353	0.8169740430206647	7.439679488	40.648220672	True
73	siglip2_so400m	SigLIP2	0.4504788104024482	0.19963806584413094	64.625	8	1	pooler_output	0.44724054367382365	8	0	1.0	True	1.0	pooler_output	670346449920.0	384.0	384.0	1.0	pooler_output	index	674244785664.0	3.0	0.9942182189215436	0.005781781078456394	670.34644992	674.244785664	True
74	dinov3_vit7b16	DINOv3	0.8458989126164222	0.07555403786159996	27.857142857142858	7	24	block_024	0.6967906511970589	7	0	0.875	False								missing							False
75	siglip2_so400m_naflex	SigLIP2	0.5547776537796081	0.3313671217699924	52.142857142857146	7	1	pooler_output	0.5332237721326223	7	0	0.875	False	1.0	pooler_output	220460064768.0			1.0	pooler_output	index	221845340160.0	3.0	0.9937556705450702	0.006244329454929809	220.460064768	221.84534016	True
