model_key	family	global_triplet_score_fr	triplet_rank_fr	global_triplet_score_nr	triplet_rank_nr	delta_global_triplet_score	delta_triplet_rank	abs_score_delta
siglip2_so400m_naflex	SigLIP2	0.9248518687329079	17	0.31358249772105745	75	0.6112693710118504	58	0.6112693710118504
siglip2_base_naflex	SigLIP2	0.966841385597083	5	0.3876651205350689	72	0.579176265062014	67	0.579176265062014
siglip2_base	SigLIP2	0.8875341841385597	29	0.37962346155144694	73	0.5079107225871127	44	0.5079107225871127
siglip2_large	SigLIP2	0.927073837739289	16	0.44180980936526365	69	0.4852640283740253	53	0.4852640283740253
fastvit_t8	FastViT	0.8798997265268915	33	0.4118325165499277	71	0.4680672099769638	38	0.4680672099769638
internvit_300m	InternViT	0.4540793072014585	74	0.9022231918008278	10	-0.44814388459936927	-64	0.44814388459936927
siglip2_so400m	SigLIP2	0.8231540565177757	42	0.41710990260063485	70	0.4060441539171409	28	0.4060441539171409
internvit_300m_v25	InternViT	0.5595943482224248	69	0.9529296639977285	4	-0.3933353157753037	-65	0.3933353157753037
vgg11_bn	VGG	0.8967639015496809	24	0.515287960517374	66	0.38147594103230686	42	0.38147594103230686
vgg11	VGG	0.9465587967183227	9	0.6007328326152391	54	0.3458259641030835	45	0.3458259641030835
fastvit_s12	FastViT	0.8336371923427529	40	0.5029592707730052	67	0.33067792156974773	27	0.33067792156974773
vgg19	VGG	0.9594348222424796	7	0.6566082625411097	41	0.30282655970136985	34	0.30282655970136985
internvit_6b_v25	InternViT	0.6989516864175023	61	0.9863355425874417	1	-0.28738385616993944	-60	0.28738385616993944
vgg16	VGG	0.9687784867821331	4	0.6837613330320714	36	0.28501715375006165	32	0.28501715375006165
vgg13	VGG	0.9348792160437557	12	0.6560134217381255	42	0.2788657943056302	30	0.2788657943056302
resnext50_32x4d	ResNeXt	0.8807543299908842	32	0.6046201286249904	53	0.27613420136589384	21	0.27613420136589384
swinv2_large	SwinV2	0.4077028258887876	75	0.6820494208066374	37	-0.27434659491784985	-38	0.27434659491784985
vgg13_bn	VGG	0.9076458523245214	21	0.6394183697055165	45	0.268227482619005	24	0.268227482619005
resnet34	ResNet	0.8883887876025525	28	0.6219254835556871	50	0.26646330404686536	22	0.26646330404686536
resnet18	ResNet	0.9000113947128533	23	0.6404665101489775	44	0.2595448845638758	21	0.2595448845638758
vgg19_bn	VGG	0.9458751139471285	10	0.6955663854023015	35	0.250308728544827	25	0.250308728544827
convnext_tiny	ConvNeXt	0.7824179580674567	49	0.5381341974702656	62	0.24428376059719115	13	0.24428376059719115
resnet50	ResNet	0.8612123974475844	39	0.6211744929839733	51	0.24003790446361106	12	0.24003790446361106
vgg16_bn	VGG	0.9095829535095716	20	0.6730181640163408	39	0.2365647894932308	19	0.2365647894932308
fastvit_t12	FastViT	0.761052871467639	56	0.5322166298313367	63	0.22883624163630234	7	0.22883624163630234
dinov3_vits16	DINOv3	0.9206927985414768	18	0.7239848858277907	32	0.19670791271368604	14	0.19670791271368604
dinov3_vits16plus	DINOv3	0.933682771194166	13	0.7447874328761597	29	0.1888953383180063	16	0.1888953383180063
resnet101	ResNet	0.7522789425706473	58	0.5696380355298618	56	0.1826409070407855	-2	0.1826409070407855
fastvithd_7b	FastViTHD	0.9846171376481312	3	0.8147809444907591	23	0.16983619315737208	20	0.16983619315737208
resnet152	ResNet	0.702028258887876	60	0.541728888507983	61	0.16029937037989306	1	0.16029937037989306
dinov2_large	DINOv2	0.7937556973564266	47	0.9427159757986254	6	-0.14896027844219883	-41	0.14896027844219883
vit_base	ViT	0.774954421148587	50	0.6261153400320827	49	0.14883908111650435	-1	0.14883908111650435
convnext_large	ConvNeXt	0.6217525068368277	65	0.4744609099668352	68	0.1472915968699925	3	0.1472915968699925
resnext101_32x8d	ResNeXt	0.8655423883318141	36	0.721113483115914	33	0.14442890521590013	-3	0.14442890521590013
fastvithd_05b	FastViTHD	0.9973792160437558	1	0.853195410776693	15	0.14418380526706276	14	0.14418380526706276
fastvit_sa24	FastViT	0.659412032816773	62	0.7994561919280849	24	-0.14004415911131196	-38	0.14004415911131196
swin_tiny	Swin	0.7072128532360984	59	0.5684184874400614	57	0.138794365796037	-2	0.138794365796037
fastvithd_15b	FastViTHD	0.9964676390154967	2	0.8605689695024243	13	0.1358986695130724	11	0.1358986695130724
dino_vits8	DINO	0.8656563354603464	35	0.7324483547895885	31	0.1332079806707579	-4	0.1332079806707579
fastvit_sa12	FastViT	0.7694849589790338	53	0.636300568502027	46	0.1331843904770068	-7	0.1331843904770068
vit_mae_base	MAE	0.805834092980857	44	0.681930171295106	38	0.12390392168575093	-6	0.12390392168575093
siglip_base	SigLIP	0.9421148587055607	11	0.8265987658649464	21	0.11551609284061426	10	0.11551609284061426
fastvit_sa36	FastViT	0.6304124886052871	64	0.5184119297990462	65	0.11200055880624094	1	0.11200055880624094
vit_tiny	ViT	0.9480401093892434	8	0.8369929515098157	17	0.11104715787942776	9	0.11104715787942776
dino_vits16	DINO	0.8140382862351868	43	0.706361387917146	34	0.10767689831804084	-9	0.10767689831804084
dinov3_vitb16	DINOv3	0.8862807657247037	30	0.7839950923740046	27	0.10228567335069916	-3	0.10228567335069916
dino_vitb16	DINO	0.7713081130355515	52	0.6691898434909678	40	0.1021182695445837	-12	0.1021182695445837
clip_vit_b16	CLIP	0.9608021877848678	6	0.8600366751764503	14	0.10076551260841748	8	0.10076551260841748
swin_base	Swin	0.526207839562443	71	0.6262438957668371	48	-0.10003605620439415	-23	0.10003605620439415
vit_large	ViT	0.7534184138559709	57	0.6556587031366734	43	0.09775971071929745	-14	0.09775971071929745
swinv2_small	SwinV2	0.5301959890610757	70	0.6272047092086594	47	-0.09700872014758377	-23	0.09700872014758377
clip_vit_b32	CLIP	0.927073837739289	15	0.8312283954945761	18	0.09584544224471292	3	0.09584544224471292
convnext_base	ConvNeXt	0.6216955332725616	66	0.5300957848435819	64	0.09159974842897967	-2	0.09159974842897967
swin_large	Swin	0.5080332725615314	73	0.5903188441930466	55	-0.08228557163151518	-18	0.08228557163151518
convnext_small	ConvNeXt	0.6423199635369189	63	0.5601822634639407	59	0.08213770007297816	-4	0.08213770007297816
clip_vit_l14	CLIP	0.8895852324521422	27	0.9691533327966023	2	-0.07956810034446016	-25	0.07956810034446016
dinov2_small	DINOv2	0.8642889699179581	37	0.9272010949312681	9	-0.06291212501331	-28	0.06291212501331
clip_vit_l14_336	CLIP	0.9096399270738378	19	0.9683036529739659	3	-0.05866372590012814	-16	0.05866372590012814
dinov3_vitl16	DINOv3	0.8849134001823153	31	0.8273120986961765	19	0.057601301486138845	-12	0.057601301486138845
dinov2_giant	DINOv2	0.8729489516864175	34	0.9295736407936347	8	-0.056624689107217185	-26	0.056624689107217185
vit_mae_large	MAE	0.7724475843208751	51	0.8271141791348415	20	-0.05466659481396641	-31	0.05466659481396641
dinov3_vith16plus	DINOv3	0.8268003646308113	41	0.8800249276928098	11	-0.05322456306199852	-30	0.05322456306199852
swinv2_base	SwinV2	0.5111668185961713	72	0.5565327089939669	60	-0.045365890397795594	-12	0.045365890397795594
dinov3_vit7b16	DINOv3	0.8961941659070192	25	0.8561227590398056	74	0.040071406867213555	49	0.040071406867213555
swin_small	Swin	0.5738947128532361	68	0.6132545723855356	52	-0.03935985953229948	-16	0.03935985953229948
dinov2_base	DINOv2	0.9070191431175935	22	0.9447870433133271	5	-0.03776790019573362	-17	0.03776790019573362
swinv2_tiny	SwinV2	0.5978805834092982	67	0.5629204573294516	58	0.034960126079846554	-9	0.034960126079846554
vit_huge	ViT	0.7645852324521422	55	0.7330473076446945	30	0.03153792480744766	-25	0.03153792480744766
siglip_large	SigLIP	0.8942570647219691	26	0.8676632333195688	12	0.026593831402400236	-14	0.026593831402400236
vit_small	ViT	0.863947128532361	38	0.8408551423592445	16	0.023091986173116474	-22	0.023091986173116474
dino_vitb8	DINO	0.7665223336371924	54	0.7489488296233966	28	0.01757350401379576	-26	0.01757350401379576
ijepa_vith14	I-JEPA	0.8035551504102096	45	0.8152702786932504	22	-0.011715128283040777	-23	0.011715128283040777
vit_mae_huge	MAE	0.7958067456700091	46	0.7853650550019435	26	0.01044169066806555	-20	0.01044169066806555
siglip_so400m	SigLIP	0.930549225159526	14	0.9375569735642661	7	-0.007007748404740166	-7	0.007007748404740166
fastvit_ma36	FastViT	0.7911349134001823	48	0.7891714085120345	25	0.0019635048881477823	-23	0.0019635048881477823
